provider,model,n_runs,mean_run_accuracy,std_run_accuracy,rse_std_dev,min_accuracy,max_accuracy,range_accuracy,t_ci_lower,t_ci_upper,total_pooled_accuracy,pooled_ci_lower,pooled_ci_upper
AMD MI300X,qwen3_8b_thinkmode,8,0.6254385964912281,0.018135390992607067,0.2672612419124244,0.6052631578947368,0.656140350877193,0.05087719298245619,0.6102770301994735,0.6406001627829827,0.625438596491228,0.6112903669424019,0.639375658668315
AMD MI300X,qwen3_32b,8,0.6155701754385965,0.00891795746031777,0.2672612419124244,0.6,0.6280701754385964,0.028070175438596467,0.608114576423567,0.623025774453626,0.6155701754385965,0.6013592120667569,0.6295865842564036
AMD MI300X,qwen3_14b_fp8,8,0.6,0.006564311204866584,0.2672612419124244,0.5929824561403508,0.6105263157894737,0.01754385964912286,0.5945120984966432,0.6054879015033567,0.6,0.5857024914079301,0.6141291653726415
AMD MI300X,qwen3_4b_instruct_2507,8,0.5991228070175438,0.010056342179317739,0.2672612419124244,0.5824561403508772,0.6140350877192983,0.03157894736842104,0.5907154945605669,0.6075301194745207,0.5991228070175438,0.5848208700983969,0.6132578774121696
AMD MI300X,deepseek_v3,8,0.5936403508771929,0.003859364309382066,0.2672612419124244,0.5877192982456141,0.5982456140350877,0.010526315789473606,0.5904138415703585,0.5968668601840273,0.593640350877193,0.5793118082130737,0.6078112563599616
AMD MI300X,qwen3_14b,8,0.5874999999999999,0.006790661951672918,0.2672612419124244,0.5771929824561404,0.5947368421052631,0.01754385964912275,0.5818228645366865,0.5931771354633133,0.5875,0.5731438409665636,0.6017088587164366
AMD MI300X,granite_4_0_h_small,8,0.5850877192982457,0.009924305700863802,0.2672612419124244,0.5719298245614035,0.5982456140350877,0.02631578947368418,0.5767907920996745,0.5933846464968168,0.5850877192982457,0.5707213384401172,0.5993108607503693
AMD MI300X,qwen3_30b_a3b,8,0.581140350877193,0.00878445221469768,0.2672612419124244,0.5684210526315789,0.5912280701754385,0.02280701754385961,0.5737963650406492,0.5884843367137367,0.581140350877193,0.566758003474965,0.5953861040004987
AMD MI300X,qwen2_5_32b_instruct,8,0.5589912280701754,0.01285576262701502,0.2672612419124244,0.5403508771929825,0.5789473684210527,0.038596491228070184,0.5482435415504855,0.5697389145898654,0.5589912280701754,0.5445366324392653,0.5733465159685718
AMD MI300X,qwen3_4b_thinkmode,8,0.5052631578947369,0.015522669240302774,0.2672612419124244,0.4824561403508772,0.5245614035087719,0.0421052631578947,0.4922858816503058,0.518240434139168,0.5052631578947369,0.4907533588841375,0.5197640967358925
AMD MI300X,qwen3_8b,5,0.4905263157894737,0.00989324363499768,0.35355339059327373,0.4807017543859649,0.5070175438596491,0.026315789473684237,0.47824223134243854,0.5028104002365089,0.4905263157894737,0.4721979709617774,0.5088801650246852
AMD MI300X,qwen2_5_7b_instruct,8,0.4155701754385965,0.012134377106774934,0.2672612419124244,0.4,0.4368421052631579,0.0368421052631579,0.40542558230638803,0.4257147685708049,0.4155701754385965,0.4013431999206004,0.429939282841417
AMD MI300X,qwen3_4b,3,0.37777777777777777,0.014071589959667783,0.5,0.3631578947368421,0.3912280701754386,0.028070175438596467,0.3428220104951129,0.41273354506044263,0.37777777777777777,0.35509634135777857,0.4010071197595475
AMD MI300X,granite_4_0_h_tiny,8,0.27258771929824566,0.01734061468728628,0.2672612419124244,0.24912280701754386,0.30350877192982456,0.054385964912280704,0.2580906026257549,0.2870848359707364,0.2725877192982456,0.2598587959353617,0.2856994758158385
AMD MI300X,granite_4_0_h_micro,8,0.1706140350877193,0.007487403130972262,0.2672612419124244,0.15789473684210525,0.17894736842105263,0.02105263157894738,0.1643544094215507,0.1768736607538879,0.1706140350877193,0.15997415087878233,0.181808418234335
AMD MI300X,llama_3_1_8b_instruct,6,0.10497076023391815,0.009507196520407284,0.31622776601683794,0.08947368421052632,0.11403508771929824,0.024561403508771923,0.09499356936990765,0.11494795109792864,0.10497076023391813,0.0951373989829664,0.11569054603214092
AWS Bedrock,claude_sonnet45,8,0.8962719298245614,0.011803752988750802,0.2672612419124244,0.8842105263157894,0.9192982456140351,0.03508771929824561,0.8864037453722164,0.9061401142769063,0.8962719298245614,0.887086015234363,0.9047907474904019
AWS Bedrock,claude_haiku35,5,0.74,0.007786786323218291,0.35355339059327373,0.7315789473684211,0.7491228070175439,0.01754385964912275,0.7303314277607543,0.7496685722392457,0.74,0.7235807503893525,0.7557731379535917
AWS Bedrock,nova_premier,8,0.680921052631579,0.013827967342486362,0.2672612419124244,0.6491228070175439,0.6929824561403509,0.04385964912280704,0.669360582629648,0.6924815226335099,0.680921052631579,0.6672446861045724,0.6942928508339616
AWS Bedrock,nova_lite,8,0.5743421052631579,0.01358739286495215,0.2672612419124244,0.5456140350877193,0.5877192982456141,0.04210526315789476,0.5629827605576556,0.5857014499686601,0.5743421052631579,0.5599344619431355,0.5886245986897893
AWS Bedrock,nova_pro,8,0.537719298245614,0.012082176233778412,0.2672612419124244,0.5245614035087719,0.5543859649122806,0.029824561403508754,0.5276183461353581,0.54782025035587,0.537719298245614,0.5232226785996771,0.5521524200105384
AWS Bedrock,claude_haiku45,8,0.45416666666666666,0.008667929854266978,0.2672612419124244,0.44035087719298244,0.4649122807017544,0.02456140350877195,0.4469200959612807,0.46141323737205264,0.45416666666666666,0.4397600965067574,0.4686503941354806
AWS Bedrock,nova_micro,7,0.3852130325814537,0.01859034276757163,0.2886751345948129,0.35789473684210527,0.41578947368421054,0.05789473684210528,0.36801983311309,0.40240623204981735,0.3852130325814536,0.3702303863764053,0.4004164934648195
AWS Bedrock,nova_2_lite,8,0.28092105263157896,0.008358029623771343,0.2672612419124244,0.26666666666666666,0.2912280701754386,0.02456140350877195,0.2739335650025052,0.2879085402606527,0.28092105263157896,0.26806458178369996,0.2941463280325479
