provider,model,q101,q102,q201,q202,q301,q302,q303,q304,q401,q402,q403,q501,q502,q503,q601,q602,q701,q702,q703,total_score,percentage_score
AMD MI300X,qwen3_30b_a3b_instruct_2507_run1,30,30,30,29,6,13,7,2,22,19,16,25,6,28,30,11,30,30,30,394,69.12
AMD MI300X,qwen3_30b_a3b_instruct_2507_run2,30,30,30,27,11,13,1,0,24,23,13,27,4,28,30,13,30,30,30,394,69.12
AMD MI300X,qwen3_30b_a3b_instruct_2507_run3,30,30,30,30,8,10,4,2,23,22,17,23,10,26,30,15,30,30,30,400,70.18
AMD MI300X,qwen3_30b_a3b_instruct_2507_run4,30,30,30,28,10,11,7,0,19,24,14,28,6,27,30,12,30,30,30,396,69.47
AMD MI300X,qwen3_30b_a3b_instruct_2507_run5,30,30,30,29,7,11,2,2,21,21,13,23,9,29,30,14,30,30,30,391,68.6
AMD MI300X,qwen3_30b_a3b_instruct_2507_run6,30,30,30,29,3,14,2,1,27,22,15,24,8,29,30,13,30,30,30,397,69.65
AMD MI300X,qwen3_30b_a3b_instruct_2507_run7,30,30,30,26,9,12,5,0,22,21,18,27,5,29,30,14,30,30,30,398,69.82
AMD MI300X,qwen3_30b_a3b_instruct_2507_run8,30,30,30,28,11,17,6,2,24,17,15,26,8,29,30,13,30,30,30,406,71.23
AMD MI300X,qwen3_30b_a3b_run1,30,30,30,30,29,22,0,0,0,0,1,22,6,6,30,10,30,30,30,336,58.95
AMD MI300X,qwen3_30b_a3b_run2,30,30,30,30,30,20,0,0,0,0,0,21,10,3,30,13,30,30,30,337,59.12
AMD MI300X,qwen3_30b_a3b_run3,30,30,30,30,29,20,0,0,0,0,0,18,11,4,30,11,30,30,30,333,58.42
AMD MI300X,qwen3_30b_a3b_run4,30,30,29,29,25,17,0,0,1,0,2,19,10,6,30,6,30,30,30,324,56.84
AMD MI300X,qwen3_30b_a3b_run5,30,30,29,30,29,17,0,0,0,0,0,20,12,6,30,9,30,30,30,332,58.25
AMD MI300X,qwen3_30b_a3b_run6,30,30,30,29,29,21,0,0,0,0,0,19,7,3,30,7,30,30,30,325,57.02
